tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037113426,29,735,3.9,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,7450,20184714.2148438,21371.7608774686
06037113427,75,936,8,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,7451,2806211.79980469,9023.97078059514
06037113428,26,1101,2.4,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,7452,13673423.4267578,15162.190339531
06037115101,178,1866,9.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7453,41812047.5722656,26388.3516778952
06037115103,0,14,0,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7454,16329320.5546875,22141.5749947959
06037117407,114,1006,11.3,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7455,2148931.08203125,5890.47601747233
06037115104,242,1984,12.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7456,10987102.3017578,20179.6195833099
06037115202,118,2077,5.7,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7457,18737607.28125,18731.2743124842
06037115203,174,1010,17.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7458,6509971.80566406,13182.0938297827
06037115204,89,1669,5.3,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7459,8315380.18847656,12879.1262027384
06037115301,76,1647,4.6,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7460,17666228.5517578,21836.1221048297
06037115302,55,1052,5.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7461,9022175.24902344,12561.1588465603
06037115401,118,1909,6.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7462,20506906.8222656,20433.093069866
06037115403,98,1081,9.1,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7463,7553347.38378906,11099.6580083453
06037115404,12,844,1.4,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7464,10269140.5927734,13011.3503916569
06037117101,82,1490,5.5,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7465,8417799.51367188,11698.7786092424
06037117102,16,805,2,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7466,11085612.2382812,13712.4089498802
06037117201,234,1195,19.6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7467,8548198.58984375,13679.0981391811
06037117202,170,945,18,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7468,19495302.2011719,18086.1266353396
06037117301,20,1146,1.7,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7469,14300314.5722656,16164.7232629359
